Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
52,Hermanus,ZA,67.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Pecos,US,50.83,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
57,Passa Quatro,BR,72.34,few clouds,-22.3903,-44.9667,Pouso Varanda Mantiqueira
58,Kilindoni,TZ,79.09,light rain,-7.9139,39.6668,Bustani B&B
59,Kasongo,CD,68.63,overcast clouds,-4.45,26.6667,Guest Hôtel
61,Ancud,CL,77.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
62,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
66,Yeppoon,AU,76.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
67,Hithadhoo,MV,80.98,overcast clouds,-0.6,73.0833,Scoop Guest House
68,Kavaratti,IN,80.4,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
