City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Faanui,PF,-16.4833,-151.75,81.12,74,97,13.8,light rain
79,Hamilton,US,39.1834,-84.5333,30.83,76,100,9.22,overcast clouds
80,Baoying,CN,33.2292,119.3092,39.33,79,93,3.51,light rain
81,Olafsvik,IS,64.8945,-23.7142,26.53,71,31,18.25,scattered clouds
82,Chiredzi,ZW,-21.05,31.6667,71.13,51,8,3.53,clear sky
83,Almaznyy,RU,48.0448,40.045,32.14,91,99,16.75,overcast clouds
84,Bluff,NZ,-46.6,168.3333,50.81,73,100,13.76,overcast clouds
85,Busselton,AU,-33.65,115.3333,55.09,79,0,11.54,clear sky
86,Khani,GE,41.9563,42.9566,27.97,81,4,5.75,clear sky
87,Adrar,MR,20.5022,-10.0711,64.83,22,73,9.15,broken clouds
88,Mandalgovi,MN,45.7625,106.2708,-8.9,83,12,6.6,few clouds
89,Avarua,CK,-21.2078,-159.775,77.05,88,100,5.75,moderate rain
90,Ribeira Grande,PT,38.5167,-28.7,61.3,88,100,15.64,overcast clouds
91,Verkhoyansk,RU,67.5447,133.385,-29.0,97,88,2.15,overcast clouds
92,Georgetown,MY,5.4112,100.3354,79.9,83,20,5.75,few clouds
93,Hambantota,LK,6.1241,81.1185,76.42,84,77,8.99,broken clouds
94,Norman Wells,CA,65.282,-126.8329,-12.96,70,75,3.44,broken clouds
95,Mikuni,JP,36.2171,136.1519,31.91,80,100,12.39,light snow
96,Walvis Bay,NA,-22.9575,14.5053,71.1,83,92,1.14,light rain
97,Bull Savanna,JM,17.8868,-77.5902,76.55,77,29,14.63,scattered clouds
98,Kapaa,US,22.0752,-159.319,78.78,74,75,6.91,broken clouds
99,Khatanga,RU,71.9667,102.5,-18.62,87,60,3.13,broken clouds
100,Shimoda,JP,34.6667,138.95,44.1,77,97,3.42,overcast clouds
101,Narsaq,GL,60.9167,-46.05,30.42,98,100,4.92,snow
102,Isangel,VU,-19.55,169.2667,86.11,89,75,0.0,broken clouds
103,Ostrovnoy,RU,68.0531,39.5131,5.54,96,67,2.26,broken clouds
104,Jimani,DO,18.4917,-71.8502,89.49,47,3,11.74,clear sky
105,Payson,US,40.0444,-111.7321,51.58,34,20,5.75,few clouds
106,Kikwit,CD,-5.041,18.8162,71.35,92,94,1.5,light rain
107,Padang,ID,-0.9492,100.3543,76.17,80,97,3.71,overcast clouds
108,Geraldton,AU,-28.7667,114.6,66.61,82,3,9.22,clear sky
109,Atuona,PF,-9.8,-139.0333,77.58,78,6,12.86,light rain
110,Harlingen,US,26.1906,-97.6961,69.75,63,100,25.32,overcast clouds
111,Nador,MA,35.174,-2.9287,53.85,82,75,0.0,broken clouds
112,Airai,TL,-8.9266,125.4092,58.71,92,85,2.39,overcast clouds
113,Luderitz,NA,-26.6481,15.1594,73.67,68,5,7.45,clear sky
114,Torbay,CA,47.6666,-52.7314,46.76,82,100,17.27,overcast clouds
115,Havoysund,NO,70.9963,24.6622,29.28,57,97,17.27,light snow
116,Verkhnevilyuysk,RU,63.4453,120.3167,-24.2,100,100,2.01,overcast clouds
