City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avarua,CK,2022-02-11 22:49:38,-21.2078,-159.775,82.45,78,45,11.5
68,Kungurtug,RU,2022-02-11 22:49:38,50.5994,97.5228,-28.26,99,47,1.5
69,Bredasdorp,ZA,2022-02-11 22:49:39,-34.5322,20.0403,69.12,73,17,3.44
70,Cape Town,ZA,2022-02-11 22:44:40,-33.9258,18.4232,68.88,79,0,19.57
71,Ronne,DK,2022-02-11 22:49:40,55.1009,14.7066,35.51,69,0,10.36
72,New Norfolk,AU,2022-02-11 22:49:40,-42.7826,147.0587,63.91,44,23,1.57
73,Barrow,US,2022-02-11 22:49:41,71.2906,-156.7887,-32.78,100,0,4.61
74,Navolato,MX,2022-02-11 22:49:42,24.7672,-107.6944,83.64,47,0,11.48
75,Qaanaaq,GL,2022-02-11 22:49:42,77.484,-69.3632,-23.26,57,0,7.16
76,Constitucion,CL,2022-02-11 22:49:42,-35.3333,-72.4167,64.56,60,0,12.48
77,Port Lincoln,AU,2022-02-11 22:49:43,-34.7333,135.8667,68.88,64,0,14.16
78,Pundaguitan,PH,2022-02-11 22:49:44,6.3711,126.1689,80.65,78,100,11.86
79,Mataura,NZ,2022-02-11 22:49:44,-46.1927,168.8643,57.47,45,90,8.7
80,Gizo,SB,2022-02-11 22:49:44,-8.103,156.8419,82.24,74,98,7.81
81,Suez,EG,2022-02-11 22:49:45,29.9737,32.5263,52.95,68,0,5.57
82,Lebu,CL,2022-02-11 22:49:45,-37.6167,-73.65,59.86,73,0,24.52
83,La Ronge,CA,2022-02-11 22:49:46,55.1001,-105.2842,-9.15,59,100,1.14
84,Khatanga,RU,2022-02-11 22:49:46,71.9667,102.5,1.06,80,79,14.99
85,Mar Del Plata,AR,2022-02-11 22:49:47,-38.0023,-57.5575,61.09,75,100,21.0
86,Chau Doc,VN,2022-02-11 22:49:06,10.7,105.1167,72.21,91,86,2.37
87,Beroroha,MG,2022-02-11 22:49:47,-21.6667,45.1667,77.59,78,46,4.14
88,Lev Tolstoy,RU,2022-02-11 22:49:48,53.2134,39.446,17.58,90,36,7.92
89,Harper,LR,2022-02-11 22:49:48,4.375,-7.7169,78.75,86,44,6.35
90,Sandy Bay,AU,2022-02-11 22:49:49,-42.913,147.3532,64.29,62,75,8.05
91,Cabo San Lucas,MX,2022-02-11 22:49:45,22.8909,-109.9124,76.6,63,0,1.63
92,Isangel,VU,2022-02-11 22:50:49,-19.55,169.2667,86.11,74,75,4.61
93,Sur,OM,2022-02-11 22:50:50,22.5667,59.5289,67.3,59,0,8.34
94,Port Macquarie,AU,2022-02-11 22:50:50,-31.4333,152.9167,70.9,94,75,16.11
95,Hilo,US,2022-02-11 22:50:26,19.7297,-155.09,80.33,63,40,6.91
96,Caravelas,BR,2022-02-11 22:50:51,-17.7125,-39.2481,76.21,86,20,5.46
97,Sao Gabriel Da Cachoeira,BR,2022-02-11 22:50:52,-0.1303,-67.0892,74.64,96,99,0.38
98,Cardoso,BR,2022-02-11 22:50:53,-20.0819,-49.9142,72.97,89,29,5.28
99,Hithadhoo,MV,2022-02-11 22:50:53,-0.6,73.0833,81.12,72,100,9.26
100,Butaritari,KI,2022-02-11 22:50:53,3.0707,172.7902,82.04,78,91,15.35
101,Hamilton,US,2022-02-11 22:50:54,39.1834,-84.5333,56.25,63,100,20.71
102,Chengde,CN,2022-02-11 22:50:54,40.9725,117.9361,23.58,60,83,1.95
103,Yellowknife,CA,2022-02-11 22:50:55,62.456,-114.3525,-5.58,83,75,3.44
104,Longyearbyen,SJ,2022-02-11 22:47:57,78.2186,15.6401,21.04,93,75,0.0
105,Sinnar,SD,2022-02-11 22:50:55,13.5691,33.5672,73.54,16,0,15.86
106,Jamestown,US,2022-02-11 22:50:56,42.097,-79.2353,48.09,58,100,21.85
107,Mount Gambier,AU,2022-02-11 22:50:56,-37.8333,140.7667,58.91,77,0,11.5
108,Ahipara,NZ,2022-02-11 22:50:57,-35.1667,173.1667,78.8,83,95,17.96
109,Shediac,CA,2022-02-11 22:50:57,46.2198,-64.5411,36.12,75,40,9.22
110,Saint George,US,2022-02-11 22:50:57,37.1041,-113.5841,73.87,16,0,6.91
111,Butembo,CD,2022-02-11 22:50:58,0.15,29.2833,61.03,60,96,3.38
112,Yulara,AU,2022-02-11 22:50:58,-25.2406,130.9889,71.44,43,0,6.91
113,Fortuna,US,2022-02-11 22:50:59,40.5982,-124.1573,75.42,60,20,10.36
114,Saint-Georges,GD,2022-02-11 22:50:59,12.0564,-61.7485,78.48,73,75,17.27
115,Omsukchan,RU,2022-02-11 22:50:59,62.5333,155.8,-25.83,82,69,3.47
116,Belyy Yar,RU,2022-02-11 22:51:00,53.6039,91.3903,-28.14,60,75,0.0
117,Guiratinga,BR,2022-02-11 22:51:00,-16.3494,-53.7583,70.95,93,73,4.14
118,Bluff,NZ,2022-02-11 22:51:01,-46.6,168.3333,57.79,66,38,17.27
119,Kattivakkam,IN,2022-02-11 22:51:01,13.2167,80.3167,79.07,80,18,8.79
120,Okhotsk,RU,2022-02-11 22:51:02,59.3833,143.3,-12.41,83,52,8.63
121,Arlit,NE,2022-02-11 22:51:02,18.7369,7.3853,64.69,19,1,8.57
122,Tahe,CN,2022-02-11 22:48:20,52.3333,124.7333,-13.05,94,100,3.56
123,Boguchany,RU,2022-02-11 22:51:03,58.3814,97.4531,-23.64,100,58,2.19
124,Ribeira Grande,PT,2022-02-11 22:51:03,38.5167,-28.7,60.24,73,100,10.31
125,Gazojak,TM,2022-02-11 22:51:04,41.1875,61.4036,34.63,71,2,5.7
126,Cam Ranh,VN,2022-02-11 22:51:04,11.9214,109.1591,76.96,78,20,6.91
127,Kapoeta,SS,2022-02-11 22:51:05,4.7717,33.5903,85.28,26,90,7.29
128,Castro,BR,2022-02-11 22:51:05,-24.7911,-50.0119,69.58,64,68,10.69
129,Ulladulla,AU,2022-02-11 22:51:06,-35.35,150.4667,69.76,83,97,10.11
130,Rocha,UY,2022-02-11 22:50:30,-34.4833,-54.3333,70.38,92,83,8.86
131,Korgen,NO,2022-02-11 22:51:06,66.0771,13.8153,28.27,96,100,5.82
132,Fort Walton Beach,US,2022-02-11 22:51:07,30.4058,-86.6188,63.25,71,75,10.36
133,Saint-Pierre,RE,2022-02-11 22:51:07,-21.3393,55.4781,74.88,73,100,5.75
134,Carnarvon,AU,2022-02-11 22:51:08,-24.8667,113.6333,77.07,78,40,4.61
135,Severo-Kurilsk,RU,2022-02-11 22:51:08,50.6789,156.125,26.4,86,100,8.46
136,La Asuncion,VE,2022-02-11 22:51:09,11.0333,-63.8628,82.13,65,8,23.02
137,Kargil,IN,2022-02-11 22:51:09,34.5667,76.1,-26.63,81,62,2.42
138,Mahebourg,MU,2022-02-11 22:51:09,-20.4081,57.7,75.25,94,20,4.61
139,Dali,CN,2022-02-11 22:51:10,25.7,100.1833,37.8,89,0,3.31
140,Iqaluit,CA,2022-02-11 22:51:54,63.7506,-68.5145,-0.31,84,100,0.0
141,East London,ZA,2022-02-11 22:49:17,-33.0153,27.9116,73.65,88,80,5.73
142,Klaksvik,FO,2022-02-11 22:52:11,62.2266,-6.589,38.32,96,100,21.5
143,Borogontsy,RU,2022-02-11 22:52:11,62.6683,131.1683,-39.46,100,90,1.1
144,Roald,NO,2022-02-11 22:52:12,62.5833,6.1333,39.34,81,75,26.46
145,Namatanai,PG,2022-02-11 22:52:13,-3.6667,152.4333,81.46,76,100,3.24
146,Zavetnoye,RU,2022-02-11 22:52:13,47.1194,43.8903,40.26,74,100,16.42
147,Kayes,ML,2022-02-11 22:52:13,14.0,-11.0,78.71,11,1,13.33
148,Buchanan,LR,2022-02-11 22:52:14,5.8808,-10.0467,79.39,86,17,5.93
149,Grants,US,2022-02-11 22:52:15,35.1473,-107.8514,57.43,17,0,13.8
150,Coahuayana,MX,2022-02-11 22:52:15,18.7333,-103.6833,83.89,33,0,6.35
151,Abong Mbang,CM,2022-02-11 22:52:15,3.9833,13.1833,68.79,26,65,1.7
152,Chokurdakh,RU,2022-02-11 22:52:16,70.6333,147.9167,-4.54,96,100,12.75
153,Saskylakh,RU,2022-02-11 22:52:16,71.9167,114.0833,6.96,90,97,14.52
154,Sobolevo,RU,2022-02-11 22:52:16,54.4299,31.8996,27.86,96,100,5.28
155,Tiksi,RU,2022-02-11 22:52:17,71.6872,128.8694,-11.33,92,100,17.09
156,Zanesville,US,2022-02-11 22:52:18,39.9404,-82.0132,54.19,52,100,17.27
157,Dikson,RU,2022-02-11 22:47:36,73.5069,80.5464,1.85,81,100,29.19
158,Poum,NC,2022-02-11 22:52:19,-20.2333,164.0167,80.73,79,99,7.52
159,Bosaso,SO,2022-02-11 22:52:19,11.2842,49.1816,72.59,69,29,5.12
160,Tual,ID,2022-02-11 22:52:20,-5.6667,132.75,82.26,68,82,2.17
161,Lima,PE,2022-02-11 22:50:09,-12.0432,-77.0282,74.39,81,0,13.8
162,Bilibino,RU,2022-02-11 22:52:20,68.0546,166.4372,-34.56,97,38,1.54
163,Pochutla,MX,2022-02-11 22:52:21,15.7432,-96.4661,83.25,52,30,6.46
164,Sosua,DO,2022-02-11 22:52:21,19.7667,-70.5167,85.98,78,40,13.8
165,Rio Gallegos,AR,2022-02-11 22:52:22,-51.6226,-69.2181,59.05,67,100,19.57
166,Quatre Cocos,MU,2022-02-11 22:52:22,-20.2078,57.7625,75.09,82,49,0.47
167,Lorengau,PG,2022-02-11 22:52:23,-2.0226,147.2712,82.9,75,100,7.72
168,Turan,VN,2022-02-11 22:52:23,16.0678,108.2208,73.38,94,75,2.3
169,Campoverde,PE,2022-02-11 22:52:24,-8.4753,-74.8058,87.49,67,100,1.03
170,Muisne,EC,2022-02-11 22:52:24,0.6,-80.0333,80.71,84,28,6.29
171,Half Moon Bay,US,2022-02-11 22:52:25,37.4636,-122.4286,80.2,54,27,6.11
172,Hobart,AU,2022-02-11 22:52:25,-42.8794,147.3294,64.26,62,75,8.05
173,Mount Isa,AU,2022-02-11 22:52:26,-20.7333,139.5,87.57,30,6,5.75
174,Port Hedland,AU,2022-02-11 22:52:26,-20.3167,118.5667,84.25,84,52,6.91
175,Arraial Do Cabo,BR,2022-02-11 22:47:35,-22.9661,-42.0278,75.06,88,75,0.0
176,Ust-Nera,RU,2022-02-11 22:52:28,64.5667,143.2,-35.39,99,66,2.28
177,Asyut,EG,2022-02-11 22:52:28,27.181,31.1837,51.98,55,0,4.9
178,Pangody,RU,2022-02-11 22:52:28,65.85,74.4859,-4.9,80,31,14.45
179,Antalaha,MG,2022-02-11 22:52:29,-14.9003,50.2788,73.18,91,9,5.19
180,Port Said,EG,2022-02-11 22:52:29,31.2565,32.2841,57.18,77,20,5.75
181,Provideniya,RU,2022-02-11 22:52:30,64.3833,-173.3,-12.75,88,7,8.12
182,Luancheng,CN,2022-02-11 22:53:30,37.8792,114.6517,30.36,67,78,5.46
183,Kavieng,PG,2022-02-11 22:53:30,-2.5744,150.7967,82.2,75,100,3.24
184,Hanover,DE,2022-02-11 22:49:10,52.3705,9.7332,35.47,92,0,1.14
185,Chiungutwa,TZ,2022-02-11 22:53:31,-10.8833,38.9833,70.38,98,100,1.41
186,Shitanjing,CN,2022-02-11 22:53:32,39.2342,106.3439,19.85,65,100,5.1
187,Sambava,MG,2022-02-11 22:53:32,-14.2667,50.1667,76.93,84,50,8.66
188,Dudinka,RU,2022-02-11 22:53:33,69.4058,86.1778,-10.41,87,98,15.61
189,Geraldton,AU,2022-02-11 22:53:33,-28.7667,114.6,72.01,88,100,0.0
190,Bilma,NE,2022-02-11 22:53:34,18.6853,12.9164,61.88,23,0,7.78
191,Les Cayes,HT,2022-02-11 22:53:34,18.2,-73.75,76.78,73,16,7.72
192,Laguna,US,2022-02-11 22:53:34,38.421,-121.4238,78.42,47,0,4.61
193,Sangin,AF,2022-02-11 22:53:35,32.0728,64.8359,48.96,32,0,7.47
194,Fevik,NO,2022-02-11 22:53:35,58.3794,8.6766,38.97,74,76,18.59
195,Along,IN,2022-02-11 22:53:36,28.1667,94.7667,49.8,97,99,2.68
196,Texarkana,US,2022-02-11 22:53:36,33.4251,-94.0477,71.83,48,27,8.1
197,Puerto Carreno,CO,2022-02-11 22:53:37,6.189,-67.4859,93.18,40,20,9.22
198,Zhanaozen,KZ,2022-02-11 22:53:37,43.3,52.8,35.11,83,92,4.79
199,Port Hardy,CA,2022-02-11 22:53:37,50.6996,-127.4199,45.75,87,75,4.61
200,Clarence Town,AU,2022-02-11 22:53:38,-32.5833,151.7833,75.11,78,95,5.35
201,Lumby,CA,2022-02-11 22:53:38,50.2498,-118.969,44.37,33,92,2.3
202,Thompson,CA,2022-02-11 22:53:39,55.7435,-97.8558,-12.84,58,0,10.36
